------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <C:\Users\Admin-desuu\IdeaProjects\university-diploma\src\main\resources\encrypted\des\text\7.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 13   6  12   9  12  10  12   9   9   8  0.883171   0.990    Frequency
 11   8  15  18  15   8   6  10   7   2  0.011791   1.000    BlockFrequency
 12   9  10  11  14  10  13   8   7   6  0.739918   0.990    CumulativeSums
 11   9   8   7  14   9  14  10   9   9  0.834308   0.980    CumulativeSums
  9  10  10   3  16  11   9   8  14  10  0.289667   0.990    Runs
  5  10   5  16  10   8  15   8  11  12  0.191687   1.000    LongestRun
  9  16  11  14  10   6   6  10  12   6  0.304126   1.000    Rank
 12   7   6  13  17  10  13   9   6   7  0.202268   0.980    FFT
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
