------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <C:\Users\Admin-desuu\IdeaProjects\university-diploma\src\main\resources\encrypted\des\text\8.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
  7  10   8  12  18   8   6  13  10   8  0.249284   1.000    Frequency
  9   9   7  11  10   7  18   9   8  12  0.401199   0.990    BlockFrequency
  7  12   8   8   9  14  11  11  12   8  0.851383   0.990    CumulativeSums
  8   7   9  12   6  13  16  14   9   6  0.262249   0.990    CumulativeSums
  5  13  17   6   9   9   7   8  16  10  0.090936   1.000    Runs
  9   7   6  13  13  12  11   7   9  13  0.657933   0.990    LongestRun
 10   9   9   4  14  12  10   9  11  12  0.699313   0.990    Rank
 12   4  11  12   8  10  11  15  10   7  0.494392   1.000    FFT
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0 100   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
