------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <C:\Users\Admin-desuu\IdeaProjects\university-diploma\src\main\resources\encrypted\des\text\10.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 11  12   7   9  11  10  11  12   7  10  0.964295   0.990    Frequency
 10  12  13  14   7   8   9   8   9  10  0.851383   0.970    BlockFrequency
 13  10   9  11  14  11   5  12   5  10  0.514124   0.990    CumulativeSums
  8  12  11  10   9  10   6  11  15   8  0.779188   0.990    CumulativeSums
 11   7  15   9  11   8  11   9  14   5  0.494392   0.980    Runs
 12   9   7   5   2  19  12  12  14   8  0.011791   0.990    LongestRun
  7   9  13  12   8  10   9  11  11  10  0.964295   0.970    Rank
  8  16   9  11   8  14   7  10   8   9  0.574903   0.990    FFT
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0 100   0   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
