------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <C:\Users\Admin-desuu\IdeaProjects\university-diploma\src\main\resources\encrypted\des\text\5.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
  9  11  11  14  11  12   7  12  11   2  0.334538   1.000    Frequency
  8  13   9   9  11   7  10  15   9   9  0.816537   1.000    BlockFrequency
  9  11  11   7  12  10  19   8   6   7  0.181557   1.000    CumulativeSums
  9  11  12  17  10   8  11   7   7   8  0.514124   1.000    CumulativeSums
 11  10  14   9  11   8  12   5  10  10  0.816537   0.980    Runs
  8   8   8  10  10  18  11  10  12   5  0.304126   1.000    LongestRun
 18   6   8   7  13  13  10   7   8  10  0.191687   0.970    Rank
 15  10   7   7   8   9  11  11  11  11  0.816537   1.000    FFT
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0   0   0   0   0 100   0   0  0.000000   1.000 *  NonOverlappingTemplate
