------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <C:\Users\Admin-desuu\IdeaProjects\university-diploma\src\main\resources\encrypted\des\text\6.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 14   6  13  14  10   6   8  10   7  12  0.437274   1.000    Frequency
 12  12  10   6   9   7  10  10   8  16  0.595549   0.980    BlockFrequency
 12   8  13  10   9  11  10   8   7  12  0.935716   1.000    CumulativeSums
 13   6   9  12   9  11   9  11  10  10  0.946308   1.000    CumulativeSums
  9  13   9  12   3  10  13  14  11   6  0.304126   0.980    Runs
 13  12  12   9  16   4  12   7   6   9  0.213309   0.990    LongestRun
  7   7  13  14  11  11  10  12   9   6  0.678686   1.000    Rank
 14  11  10   5   7  15   4  13   8  13  0.145326   0.970    FFT
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
  0   0   0 100   0   0   0   0   0   0  0.000000   1.000 *  NonOverlappingTemplate
